ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade Internationally,Regulation
AGO,Angola,5.91,138,4,8.13,3.71,6.09,5.37,6.23
ALB,Albania,7.64,26,1,7.82,5.26,9.79,8.22,7.11
ARE,United Arab Emirates,7.35,49,2,5.15,7.04,9.08,7.96,7.53
ARG,Argentina,4.87,161,4,6.48,4.8,4.52,3.09,5.49
ARM,Armenia,7.84,11,1,7.98,6.24,9.55,7.69,7.76
AUS,Australia,8.04,6,1,6.09,8.34,9.56,7.92,8.27
AUT,Austria,7.56,33,1,4.93,8.39,9.18,8.09,7.2
AZE,Azerbaijan,6.21,119,3,4.55,5.24,7.27,7.01,6.96
BDI,Burundi,5.67,147,4,6.68,4.09,8.14,2.99,6.45
BEL,Belgium,7.37,46,2,4.32,7.52,9.23,8.03,7.75
BEN,Benin,6.51,106,3,7.71,4.77,7.11,5.69,7.24
BFA,Burkina Faso,6.15,123,3,7.24,4.07,6.78,5.69,6.95
BGD,Bangladesh,5.89,139,4,8.19,2.9,6.9,4.92,6.56
BGR,Bulgaria,7.69,23,1,7.19,5.96,9.52,7.91,7.89
BHR,Bahrain,7.47,39,1,7.08,4.92,9.43,8.26,7.68
BHS,Bahamas,7.02,71,2,8.65,6.23,6.8,5.22,8.23
BIH,Bosnia and Herzegovina,6.72,89,3,6.64,4.27,8.32,7.25,7.11
BLR,Belarus,6.83,83,2,5.24,5.47,9.16,7.3,6.98
BLZ,Belize,6.23,118,3,6.05,4.99,7.07,5.54,7.48
BOL,Bolivia,6.15,123,3,5.95,3.88,9.52,6.18,5.23
BRA,Brazil,6.33,114,3,6.61,5.16,9.25,6.17,4.46
BRB,Barbados,7.01,72,2,7.32,5.91,8.18,6.02,7.62
BRN,Brunei Darussalam,7.21,59,2,6.67,5,8.98,6.61,8.78
BTN,Bhutan,6.49,110,3,6.31,6.03,6.49,6.03,7.6
BWA,Botswana,7.35,49,2,6.62,6.1,9.31,7.04,7.7
CAF,Central African Republic,5.4,155,4,6.96,3.03,6.64,5.03,5.36
CAN,Canada,7.81,14,1,5.82,8.02,9.52,7.75,7.96
CHE,Switzerland,8.37,3,1,7.52,8.74,9.86,7.63,8.1
CHL,Chile,7.56,33,1,7.68,6.68,9.38,7.37,6.67
CHN,China,6.27,116,3,4.97,5.12,8.44,6.56,6.24
CIV,Cote d'Ivoire,6.01,132,4,6.46,4.46,7.07,5.24,6.82
CMR,Cameroon,5.76,144,4,7.19,2.76,7.16,5.07,6.63
COD,Congo Dem. Rep.,5.36,156,4,7.64,2.7,5.67,5.38,5.41
COG,Congo Rep.,5.08,158,4,6.35,2.99,5.66,5.31,5.1
COL,Colombia,6.55,99,3,6.9,4.93,8.21,5.82,6.89
COM,Comoros,6.31,115,3,6.82,3.56,7.12,6.26,7.78
CPV,Cabo Verde,7.6,30,1,7.46,6.54,9.72,7.17,7.12
CRI,Costa Rica,7.62,29,1,7.44,6.66,9.75,7.8,6.45
CYP,Cyprus,7.49,38,1,6.67,6.33,9.1,8.22,7.12
CZE,Czech Republic,7.75,17,1,6.29,7.04,9.43,8.08,7.91
DEU,Germany,7.65,25,1,5.64,7.75,9.23,7.98,7.66
DJI,Djibouti,6.21,119,3,5.13,4.06,7.3,6.95,7.59
DNK,Denmark,8.09,5,1,5.24,8.66,9.7,8.42,8.43
DOM,Dominican Republic,7.36,48,2,8.69,4.98,9.36,7.24,6.53
DZA,Algeria,5.12,157,4,4.41,4.13,7.63,3.64,5.78
